№,Ige (HU),Infinitivus,Példamondat (HU),Verb (EN),Sentence (EN),Audio
449,meggyőz,meggyőzni,Végül meggyőztem őt az igazamról.,"to convince, to persuade",In the end I convinced him that I was right.,0449_meggyoz_m.mp3
450,kijut,kijutni,Végre kijutottunk a friss levegőre.,"to get out, to make it outside",We finally got out into the fresh air.,0450_kijut_m.mp3
451,otthagy,otthagyni,Tegnap otthagytam a táskámat a buszon.,to leave behind,Yesterday I left my bag on the bus.,0451_otthagy_m.mp3
452,kidob,kidobni,Tegnap kidobtam a régi cipőmet.,to throw out,Yesterday I threw out my old shoes.,0452_kidob_m.mp3
453,egyezik,egyezni,A válaszod pontosan egyezik az enyémmel.,"to match, to agree",Your answer matches mine exactly.,0453_egyezik_m.mp3
454,kiszáll,kiszállni,A megállóban szállok ki a buszból.,to get off,I get off the bus at the stop.,0454_kiszall_m.mp3
455,elalszik,elaludni,Tegnap este gyorsan elaludtam a kanapén.,to fall asleep,Last night I fell asleep quickly on the sofa.,0455_elalszik_m.mp3
456,kihasznál,kihasználni,Mindig kihasználom a jó időt.,"to make the most of, to take advantage of",I always make the most of good weather.,0456_kihasznal_m.mp3
457,teljesít,teljesíteni,Mindig teljesítem a kötelességemet.,"to fulfill, to carry out",I always fulfill my duty.,0457_teljesit_m.mp3
458,visszakap,visszakapni,Holnap visszakapom a pénzemet.,to get back,Tomorrow I will get my money back.,0458_visszakap_m.mp3
459,megvár,megvárni,Megvárlak téged a sarkon.,to wait for,I will wait for you on the corner.,0459_megvar_m.mp3
460,töröl,törölni,Most törlöm a régi fényképeket.,to delete,I am deleting the old photos now.,0460_torol_m.mp3
461,vásárol,vásárolni,A piacon zöldséget vásárolok.,"to buy, to shop for",I'm buying vegetables at the market.,0461_vasarol_m.mp3
462,összezavarodik,összezavarodni,Teljesen összezavarodtam a sok új szótól.,"to get confused, to get mixed up",I got completely confused by all the new words.,0462_osszezavarodik_m.mp3
463,elpusztít,elpusztítani,A tűz tegnap elpusztította a régi házat.,to destroy,The fire destroyed the old house yesterday.,0463_elpusztit_m.mp3
464,visszahív,visszahívni,Holnap reggel biztosan visszahívlak telefonon.,to call back,I'll definitely call you back tomorrow morning.,0464_visszahiv_m.mp3
465,gyűjt,gyűjteni,Minden nyáron pénzt gyűjtök egy új biciklire.,"to save up, to collect",Every summer I save up money for a new bicycle.,0465_gyujt_m.mp3
466,lezár,lezárni,Este mindig lezárom az ajtót.,to lock,I always lock the door in the evening.,0466_lezar_m.mp3
467,nyújt,nyújtani,Szívesen nyújtok neked segítséget.,"to offer, to give",I'm happy to offer you some help.,0467_nyujt_m.mp3
468,átél,átélni,Tegnap egy szép pillanatot éltem át.,to experience,Yesterday I experienced a beautiful moment.,0468_atel_m.mp3
469,szólít,szólítani,A tanár mindig a nevemen szólít.,"to address, to call (by name)",The teacher always calls me by name.,0469_szolit_m.mp3
470,szégyell,szégyellni,Néha szégyellem a régi fényképeimet.,to be ashamed of,Sometimes I'm ashamed of my old photos.,0470_szegyell_m.mp3
471,ebédel,ebédelni,Ma egy étteremben ebédelek.,to have lunch,Today I'm having lunch at a restaurant.,0471_ebedel_m.mp3
472,értesít,értesíteni,Holnap értesítjük a vendégeket a változásról.,"to notify, to inform",Tomorrow we will notify the guests about the change.,0472_ertesit_m.mp3
473,kivesz,kivenni,Kiveszek egy könyvet a táskából.,to take out,I take a book out of the bag.,0473_kivesz_m.mp3
474,átver,átverni,A boltban tegnap átvertek engem.,"to rip off, to con",Yesterday they ripped me off at the shop.,0474_atver_m.mp3
475,bevall,bevallani,"Végül bevallottam, hogy hibáztam.","to admit, to confess",In the end I admitted that I made a mistake.,0475_bevall_m.mp3
476,hazaér,hazaérni,Este későn hazaértem a munkából.,"to get home, to make it home",I got home late from work in the evening.,0476_hazaer_m.mp3
477,szexel,szexelni,Tegnap este sokáig szexeltünk.,to have sex,Last night we had sex for a long time.,0477_szexel_m.mp3
478,elfog,elfogni,Tegnap elfogták a tolvajt.,"to catch, to apprehend",Yesterday they caught the thief.,0478_elfog_m.mp3
479,céloz,célozni,A táblára célzol a nyíllal.,to aim,You aim at the target with the arrow.,0479_celoz_m.mp3
480,ereszt,ereszteni,Eresztem a vizet a kádba.,"to run (water), to fill",I'm running water into the tub.,0480_ereszt_m.mp3
481,megerősít,megerősíteni,E-mailben megerősítettem a foglalást.,to confirm,I confirmed the reservation by email.,0481_megerosit_m.mp3
482,visszaad,visszaadni,Holnap visszaadom neked a könyvet.,"to give back, to return",I'll give you the book back tomorrow.,0482_visszaad_m.mp3
483,stimmel,stimmelni,A számla összege most stimmel.,"to add up, to check out",The total on the bill adds up now.,0483_stimmel_m.mp3
484,igyekszik,igyekezni,Munka után mindig igyekszem haza.,"to hurry, to rush",I always hurry home after work.,0484_igyekszik_m.mp3
485,derít,deríteni,Végre fényt derítünk a rejtélyre.,"to uncover, to solve",We are finally going to solve the mystery.,0485_derit_m.mp3
486,betör,betörni,Az éjjel betörtek a boltba.,"to break in, to burglarize",Someone broke into the shop last night.,0486_betor_m.mp3
487,leesik,leesni,Tegnap leestem a bicikliről.,to fall off,Yesterday I fell off my bike.,0487_leesik_m.mp3
488,lejár,lejárni,Holnap lejár az igazolványom.,to expire,My ID card expires tomorrow.,0488_lejar_m.mp3
489,letesz,letenni,Leteszem a táskát az asztalra.,"to put down, to set down",I'm putting the bag down on the table.,0489_letesz_m.mp3
490,oszt,osztani,Most osztom a kártyákat.,"to deal, to hand out",I'm dealing the cards now.,0490_oszt_m.mp3
491,megcsókol,megcsókolni,Reggel gyengéden megcsókoltam az arcát.,to kiss,This morning I gently kissed her face.,0491_megcsokol_m.mp3
492,leáll,leállni,A liftünk hirtelen leállt a harmadik emeleten.,"to break down, to stop working",Our elevator suddenly broke down on the third floor.,0492_leall_m.mp3
493,bejut,bejutni,Végre bejutottunk a moziba.,"to get in, to make it in",We finally made it into the cinema.,0493_bejut_m.mp3
494,levág,levágni,Reggel mindig levágom a kenyér héját.,to cut off,I always cut the crust off the bread in the morning.,0494_levag_m.mp3
495,összejön,összejönni,Ma este összejövünk a barátokkal.,"to get together, to meet up",We're getting together with friends tonight.,0495_osszejon_m.mp3
496,érint,érinteni,Ez a kérdés mindenkit érint.,"to affect, to concern",This issue affects everyone.,0496_erint_m.mp3
497,elvisel,elviselni,Nehezen viselem el a nagy meleget.,"to stand, to bear",I can barely stand the heat.,0497_elvisel_m.mp3
498,süt,sütni,Ma reggel szépen süt a nap.,to shine (of the sun),The sun is shining beautifully this morning.,0498_sut_m.mp3
499,szavaz,szavazni,Holnap először szavazok a választáson.,to vote,Tomorrow I'm voting in the election for the first time.,0499_szavaz_m.mp3
500,juttat,juttatni,Minden hónapban pénzt juttatok nekik.,"to provide, to send (funds)",I send them money every month.,0500_juttat_m.mp3
501,kelt,kelteni,A film jó benyomást keltett bennem.,"to make (an impression), to create",The film made a good impression on me.,0501_kelt_m.mp3
502,közöl,közölni,Holnap közlöm veled a döntésemet.,"to tell, to let someone know",Tomorrow I'll tell you my decision.,0502_kozol_m.mp3
503,megeszik,megenni,Reggelire megettem egy almát.,"to eat, to finish eating",I ate an apple for breakfast.,0503_megeszik_m.mp3
504,rabol,rabolni,A maffia gyakran rabol bankokat.,to rob,The mafia often robs banks.,0504_rabol_m.mp3
505,lefogad,lefogadni,"Lefogadom, hogy holnap esni fog.","to bet, to make a bet",I bet it's going to rain tomorrow.,0505_lefogad_m.mp3
506,meghall,meghallani,Hirtelen meghallottam a kutya ugatását.,"to hear, to catch a sound",I suddenly heard the dog barking.,0506_meghall_m.mp3
507,elvégez,elvégezni,Tegnap elvégeztem az összes feladatot.,"to finish, to complete",Yesterday I finished all the tasks.,0507_elvegez_m.mp3
508,un,unni,Nagyon unom ezt a hosszú filmet.,to find boring,I find this long film very boring.,0508_un_m.mp3
509,ítél,ítélni,Öt évre ítéltem a tolvajt.,"to sentence, to convict",I sentenced the thief to five years.,0509_itel_m.mp3
510,meghallgat,meghallgatni,Figyelmesen meghallgattam a véleményedet.,"to listen to, to hear out",I listened carefully to your opinion.,0510_meghallgat_m.mp3
511,szállít,szállítani,Holnap szállítjuk a bútorokat a házba.,"to deliver, to transport",We are delivering the furniture to the house tomorrow.,0511_szallit_m.mp3
512,ideér,ideérni,Holnap reggel ideérek a vonattal.,"to arrive here, to get here",I will get here by train tomorrow morning.,0512_ideer_m.mp3
513,áld,áldani,Minden vasárnap áldja a híveket.,to bless,Every Sunday he blesses the congregation.,0513_ald_m.mp3
514,felrobbant,felrobbantani,Felrobbantották a régi hidat.,"to blow up, to detonate",They blew up the old bridge.,0514_felrobbant_m.mp3
515,üzen,üzenni,Holnap üzenek neked telefonon.,"to send a message, to get word to",I'll send you a message by phone tomorrow.,0515_uzen_m.mp3
516,őriz,őrizni,A kutya éjszaka őrzi a házat.,"to guard, to watch over",The dog guards the house at night.,0516_oriz_m.mp3
517,megjelenik,megjelenni,Holnap megjelenik az új könyvem a boltokban.,"to come out, to be published",My new book comes out in stores tomorrow.,0517_megjelenik_m.mp3
518,elmesél,elmesélni,Tegnap elmeséltem neki egy vicces történetet.,to tell (a story),Yesterday I told him a funny story.,0518_elmesel_m.mp3
519,panaszkodik,panaszkodni,Mindig a rossz időre panaszkodik.,to complain,He always complains about the bad weather.,0519_panaszkodik_m.mp3
520,felajánl,felajánlani,Felajánlottam neki a helyemet a buszon.,to offer,I offered him my seat on the bus.,0520_felajanl_m.mp3
521,kipróbál,kipróbálni,Holnap kipróbálom az új biciklit.,"to try out, to test",Tomorrow I'm going to try out the new bike.,0521_kiprobal_m.mp3
522,elfogy,elfogyni,Reggelre elfogyott a kávé.,to run out,"By morning, the coffee had run out.",0522_elfogy_m.mp3
523,forog,forogni,A Föld lassan forog a tengelye körül.,"to rotate, to spin",The Earth slowly rotates around its axis.,0523_forog_m.mp3
524,becsuk,becsukni,Mindig becsukom az ablakot este.,"to close, to shut",I always close the window in the evening.,0524_becsuk_m.mp3
525,elismer,elismerni,Végül elismerte a hibáját.,"to admit, to acknowledge",He finally admitted his mistake.,0525_elismer_m.mp3
526,kilép,kilépni,Reggel kilépek a házból.,"to leave, to go out",In the morning I leave the house.,0526_kilep_m.mp3
527,elkezdődik,elkezdődni,Minden hamarosan elkezdődik.,"to begin, to start",Everything will start soon.,0527_elkezdodik_m.mp3
528,izgul,izgulni,Mindig izgulok a vizsga előtt.,"to be nervous, to stress out",I always get nervous before an exam.,0528_izgul_m.mp3
529,veszteget,vesztegetni,Ne vesztegesd az időt!,to waste,Don't waste time!,0529_veszteget_m.mp3
530,összetör,összetörni,Tegnap véletlenül összetörtem egy poharat.,"to smash, to break",Yesterday I accidentally broke a glass.,0530_osszetor_m.mp3
531,megvizsgál,megvizsgálni,Tegnap alaposan megvizsgáltam a beteget.,to examine,Yesterday I examined the patient thoroughly.,0531_megvizsgal_m.mp3
532,elkerül,elkerülni,Reggel mindig elkerülöm a forgalmat.,to avoid,In the morning I always avoid traffic.,0532_elkerul_m.mp3
533,kísér,kísérni,Minden reggel az iskolába kísérem.,"to accompany, to walk to",Every morning I walk them to school.,0533_kiser_m.mp3
534,szúr,szúrni,Megint az ujjamba szúrtam a tűvel.,"to prick, to stab",I pricked my finger with the needle again.,0534_szur_m.mp3
535,vadászik,vadászni,Télen gyakran vadászunk az erdőben.,to hunt,In winter we often hunt in the forest.,0535_vadaszik_m.mp3
536,jelez,jelezni,A piros lámpa veszélyt jelez.,"to signal, to indicate",The red light signals danger.,0536_jelez_m.mp3
537,megakadályoz,megakadályozni,Tegnap megakadályoztam egy nagy balesetet.,to prevent,Yesterday I prevented a major accident.,0537_megakadalyoz_m.mp3
538,szán,szánni,Ezt a könyvet neked szánom.,"to mean for, to intend for",This book is meant for you.,0538_szan_m.mp3
539,látogat,látogatni,Gyakran látogatom a beteg barátomat.,to visit,I often visit my sick friend.,0539_latogat_m.mp3
540,leszáll,leszállni,A buszról a következő megállónál szállok le.,to get off (transport),I'm getting off the bus at the next stop.,0540_leszall_m.mp3
541,veszekedik,veszekedni,Megint veszekszünk a szomszéddal.,"to quarrel, to argue",We're quarreling with the neighbor again.,0541_veszekedik_m.mp3
542,lélegzik,lélegezni,"Mély levegőt veszek, és lassan lélegzem.",to breathe,I take a deep breath and breathe slowly.,0542_lelegzik_m.mp3
543,rávesz,rávenni,Tegnap rávettem a barátomat egy közös vacsorára.,"to talk into, to persuade",Yesterday I talked my friend into having dinner together.,0543_ravesz_m.mp3
544,eltalál,eltalálni,Végre eltaláltam a helyes választ.,"to get right, to hit on",I finally got the right answer.,0544_eltalal_m.mp3
545,bevesz,bevenni,Reggel beveszem a gyógyszert.,to take (medicine),I take my medicine in the morning.,0545_bevesz_m.mp3
546,rendelkezik,rendelkezni,Most elég pénzzel rendelkezem az úthoz.,"to have available, to possess",I have enough money for the trip right now.,0546_rendelkezik_m.mp3
547,vitatkozik,vitatkozni,Gyakran vitatkozunk a politikáról.,"to argue, to debate",We often argue about politics.,0547_vitatkozik_m.mp3
548,megoszt,megosztani,Megosztottam a fotót a barátaimmal.,to share,I shared the photo with my friends.,0548_megoszt_m.mp3
549,kihoz,kihozni,Mindjárt kihozom a kávét a teraszra.,to bring out,I'll bring the coffee out to the terrace in a moment.,0549_kihoz_m.mp3
550,ás,ásni,A kertben egy mély gödröt ások.,to dig,I'm digging a deep hole in the garden.,0550_as_m.mp3
551,visszahoz,visszahozni,Holnap visszahozom a könyvet a könyvtárból.,to bring back,Tomorrow I'll bring the book back from the library.,0551_visszahoz_m.mp3
552,haldoklik,haldokolni,A beteg már napok óta haldoklik.,to be dying,The patient has been dying for days.,0552_haldoklik_m.mp3
553,nyomoz,nyomozni,A rendőrök most egy lopás után nyomoznak.,to investigate,The police are currently investigating a theft.,0553_nyomoz_m.mp3
554,fenyeget,fenyegetni,Gyakran fenyegeti az ellenségeit.,to threaten,He often threatens his enemies.,0554_fenyeget_m.mp3
555,kiad,kiadni,Jövőre kiadom az első könyvemet.,to publish,Next year I'm going to publish my first book.,0555_kiad_m.mp3
556,megüt,megütni,Véletlenül megütöttem a térdemet.,"to hit, to bang",I accidentally hit my knee.,0556_megut_m.mp3
557,kinéz,kinézni,Ma nagyon fáradtnak nézek ki.,to look (a certain way),I look very tired today.,0557_kinez_m.mp3
558,öltözik,öltözni,Reggel mindig gyorsan öltözöm.,to get dressed,I always get dressed quickly in the morning.,0558_oltozik_m.mp3
559,takarít,takarítani,Minden reggel takarítom a konyhát.,to clean,I clean the kitchen every morning.,0559_takarit_m.mp3
560,utánanéz,utánanézni,Holnap utánanézek az áraknak az interneten.,"to look up, to check",Tomorrow I'll look up the prices online.,0560_utananez_m.mp3
561,elszúr,elszúrni,Tegnap teljesen elszúrtam a vizsgát.,"to screw up, to botch",Yesterday I totally screwed up the exam.,0561_elszur_m.mp3
562,követel,követelni,Több pénzt követelünk a főnöktől.,to demand,We demand more money from the boss.,0562_kovetel_m.mp3
563,tájékoztat,tájékoztatni,A rádió pontosan tájékoztat minket az időjárásról.,to inform,The radio accurately informs us about the weather.,0563_tajekoztat_m.mp3
564,eltör,eltörni,Tegnap véletlenül eltörtem egy poharat.,to break,Yesterday I accidentally broke a glass.,0564_eltor_m.mp3
565,elront,elrontani,Tegnap elrontottam a vacsorát.,"to ruin, to spoil",Yesterday I ruined dinner.,0565_elront_m.mp3
566,megszeg,megszegni,Tegnap megszegtem az ígéretemet.,to break (a promise),Yesterday I broke my promise.,0566_megszeg_m.mp3
567,kutat,kutatni,A laborban új gyógyszert kutatunk.,"to research, to do research on",We are researching a new medicine in the lab.,0567_kutat_m.mp3
568,megbán,megbánni,Most már nagyon megbántam a döntésemet.,to regret,Now I really regret my decision.,0568_megban_m.mp3
569,tagad,tagadni,A rendőrségen mindent tagadott.,to deny,"At the police station, he denied everything.",0569_tagad_m.mp3
570,bebizonyít,bebizonyítani,Végre bebizonyítottam az igazamat.,to prove,I finally proved that I was right.,0570_bebizonyit_m.mp3
571,rejteget,rejtegetni,Te mindig titkokat rejtegetsz előlem.,"to keep secrets, to hide things",You are always hiding secrets from me.,0571_rejteget_m.mp3
572,megír,megírni,Holnap megírom a levelet.,"to write up, to finish writing",I will write the letter tomorrow.,0572_megir_m.mp3
573,lemarad,lemaradni,Majdnem lemaradtam a buszról reggel.,"to miss (a bus/train), to be left behind",I almost missed the bus this morning.,0573_lemarad_m.mp3
574,kiáll,kiállni,Mindig kiállok a barátaim mellett.,"to stand up for, to stand by",I always stand up for my friends.,0574_kiall_m.mp3
575,szervez,szervezni,Minden évben bulit szervezünk a parkban.,"to organize, to arrange",Every year we organize a party in the park.,0575_szervez_m.mp3
576,tiltakozik,tiltakozni,Hangosan tiltakoztunk a döntés ellen.,"to protest, to object",We protested loudly against the decision.,0576_tiltakozik_m.mp3
577,lassít,lassítani,A kanyarban mindig lassítok.,"to slow down, to reduce speed",I always slow down at corners.,0577_lassit_m.mp3
578,feláll,felállni,A buszon mindig felállok az idős néniknek.,"to stand up, to get up",On the bus I always get up for elderly women.,0578_felall_m.mp3
579,elmenekül,elmenekülni,Gyorsan elmenekültünk a tűz elől.,"to flee, to escape",We quickly fled from the fire.,0579_elmenekul_m.mp3
580,éget,égetni,Most égetem a régi leveleket a kertben.,to burn,I am burning the old letters in the garden right now.,0580_eget_m.mp3
581,leír,leírni,Leírom a címet egy papírra.,"to write down, to note down",I'm writing down the address on a piece of paper.,0581_leir_m.mp3
582,elcsesz ⚠️,elcseszni,Megint elcsesztem a vizsgát.,"to fuck up, to screw up",I fucked up the exam again.,0582_elcsesz_m.mp3
583,elutasít,elutasítani,Udvariasan elutasítottam a meghívást.,"to decline, to turn down",I politely declined the invitation.,0583_elutasit_m.mp3
584,ráér,ráérni,Holnap délután ráérek.,"to be free, to have time",I'm free tomorrow afternoon.,0584_raer_m.mp3
585,meggyilkol,meggyilkolni,A filmben tegnap meggyilkolták a királyt.,"to murder, to assassinate","Yesterday in the film, the king was murdered.",0585_meggyilkol_m.mp3
586,merészel,merészelni,Nem merészelek éjszaka egyedül sétálni.,to dare,I don't dare walk alone at night.,0586_mereszel_m.mp3
587,kever,keverni,Kanállal keverem a teát.,to stir,I'm stirring the tea with a spoon.,0587_kever_m.mp3
588,rejt,rejteni,A mosolya szomorúságot rejt.,"to hide, to conceal",Her smile hides sadness.,0588_rejt_m.mp3
589,elválik,elválni,Tavaly elváltam a férjemtől.,to get divorced,Last year I got divorced from my husband.,0589_elvalik_m.mp3
590,kienged,kiengedni,Kiengedtem a kutyát a kertbe.,"to let out, to release",I let the dog out into the garden.,0590_kienged_m.mp3
591,tol,tolni,Reggel mindig én tolom a babakocsit.,to push,In the morning I always push the stroller.,0591_tol_m.mp3
592,behoz,behozni,Mindig behozom a postát reggel.,to bring in,I always bring in the mail in the morning.,0592_behoz_m.mp3
593,kihúz,kihúzni,Gyorsan kihúztam a szöget a falból.,to pull out,I quickly pulled the nail out of the wall.,0593_kihuz_m.mp3
594,alkot,alkotni,Esténként szép dolgokat alkotok.,to create,In the evenings I create beautiful things.,0594_alkot_m.mp3
595,fárad,fáradni,Munka után gyakran nagyon fáradok.,to get tired,After work I often get very tired.,0595_farad_m.mp3
596,képvisel,képviselni,Holnap én képviselem a cégünket.,to represent,Tomorrow I will represent our company.,0596_kepvisel_m.mp3
597,reménykedik,reménykedni,Mindig jó hírben reménykedem.,to hope,I always hope for good news.,0597_remenykedik_m.mp3
598,megfizet,megfizetni,Holnap megfizetem az adósságomat.,to pay off,Tomorrow I will pay off my debt.,0598_megfizet_m.mp3
599,terjed,terjedni,A tűz gyorsan terjed a száraz erdőben.,to spread,The fire spreads quickly in the dry forest.,0599_terjed_m.mp3
600,lazít,lazítani,Munka után mindig lazítok egy kicsit.,to relax,After work I always relax for a bit.,0600_lazit_m.mp3
601,bukkan,bukkanni,A padláson egy régi fényképre bukkantam.,"to come across, to stumble upon",In the attic I came across an old photograph.,0601_bukkan_m.mp3
602,felnő,felnőni,Egy kis faluban nőttem fel.,to grow up,I grew up in a small village.,0602_felno_m.mp3
603,átgondol,átgondolni,Holnapig még átgondolom az ajánlatot.,to think over,I'll think over the offer by tomorrow.,0603_atgondol_m.mp3
604,beismer,beismerni,Végre beismerte a hibáját.,"to admit, to acknowledge",He finally admitted his mistake.,0604_beismer_m.mp3
605,tartóztat,tartóztatni,Sokáig tartóztattak minket a határon.,to detain,We were detained at the border for a long time.,0605_tartoztat_m.mp3
606,felfedez,felfedezni,Tegnap felfedeztünk egy új éttermet.,"to discover, to find",Yesterday we discovered a new restaurant.,0606_felfedez_m.mp3
607,kikapcsol,kikapcsolni,Este mindig kikapcsolom a telefonomat.,"to turn off, to switch off",I always turn off my phone in the evening.,0607_kikapcsol_m.mp3
608,ellenáll,ellenállni,Nem tudok ellenállni a csokoládénak.,to resist,I can't resist chocolate.,0608_ellenall_m.mp3
609,érdeklődik,érdeklődni,Mindig érdeklődöm a magyar zene iránt.,to be interested in,I'm always interested in Hungarian music.,0609_erdeklodik_m.mp3
610,megijed,megijedni,Tegnap nagyon megijedtem a kutyától.,"to get scared, to be frightened",Yesterday I got really scared by the dog.,0610_megijed_m.mp3
611,elutazik,elutazni,Holnap elutazom Budapestre.,"to leave (for), to travel to",Tomorrow I'm leaving for Budapest.,0611_elutazik_m.mp3
612,mászik,mászni,Ügyesen mászom a fára.,to climb,I climb the tree well.,0612_maszik_m.mp3
613,befog,befogni,Reggel befogja a lovakat a szekér elé.,"to harness, to hitch up",In the morning he harnesses the horses to the cart.,0613_befog_m.mp3
614,bulizik,bulizni,Ma este a barátaimmal bulizom.,to party,Tonight I'm partying with my friends.,0614_bulizik_m.mp3
615,megsérül,megsérülni,Tegnap megsérültem a meccsen.,"to get injured, to get hurt",Yesterday I got injured at the match.,0615_megserul_m.mp3
616,zajlik,zajlani,Most fontos esemény zajlik a városban.,"to take place, to be going on",An important event is taking place in the city right now.,0616_zajlik_m.mp3
617,eltéved,eltévedni,Tegnap eltévedtem a nagy városban.,to get lost,Yesterday I got lost in the big city.,0617_elteved_m.mp3
618,előfordul,előfordulni,Ilyen hiba ritkán fordul elő.,"to occur, to happen",This kind of mistake rarely occurs.,0618_elofordul_m.mp3
619,ráz,rázni,Reggel mindig rázom a takarót.,to shake,I always shake the blanket in the morning.,0619_raz_m.mp3
620,rajzol,rajzolni,Most egy nagy házat rajzolok.,to draw,I'm drawing a big house right now.,0620_rajzol_m.mp3
621,végződik,végződni,A vizsgám jól végződött.,"to end, to finish",My exam ended well.,0621_vegzodik_m.mp3
622,házasodik,házasodni,"Jövőre házasodom, alig várom!",to get married,I'm getting married next year — I can hardly wait!,0622_hazasodik_m.mp3
623,bukik,bukni,Nyáron a víz alá bukok.,"to dive, to go under",In the summer I dive underwater.,0623_bukik_m.mp3
624,elkövet,elkövetni,Tegnap egy nagy hibát követtem el.,"to make, to commit",Yesterday I made a big mistake.,0624_elkovet_m.mp3
625,eldob,eldobni,Ezt most eldobom.,"to throw away, to toss out",I'm throwing this away now.,0625_eldob_m.mp3
626,költ,költeni,Sok pénzt költök ruhákra.,to spend,I spend a lot of money on clothes.,0626_kolt_m.mp3
627,lefoglal,lefoglalni,Tegnap lefoglaltam egy szállodai szobát.,"to book, to reserve",Yesterday I booked a hotel room.,0627_lefoglal_m.mp3
628,folytatódik,folytatódni,A film holnap folytatódik a moziban.,to continue,The film continues tomorrow at the cinema.,0628_folytatodik_m.mp3
629,összeszed,összeszedni,Gyorsan összeszedem a játékokat a földről.,"to pick up, to gather",I quickly pick up the toys from the floor.,0629_osszeszed_m.mp3
630,nevel,nevelni,Két kislányt nevelünk otthon.,"to raise, to bring up",We are raising two little girls at home.,0630_nevel_m.mp3
631,megfordul,megfordulni,"Lassan megfordultam, és rád néztem.",to turn around,I slowly turned around and looked at you.,0631_megfordul_m.mp3
632,ered,eredni,Régi nemesi családból eredek.,"to come from, to descend from",I come from an old noble family.,0632_ered_m.mp3
633,gyilkol,gyilkolni,A filmben a gonosz ember kegyetlenül gyilkol.,"to kill, to murder","In the film, the evil man kills mercilessly.",0633_gyilkol_m.mp3
634,beleegyezik,beleegyezni,Végül beleegyezett a tervbe.,"to agree to, to consent to",He finally agreed to the plan.,0634_beleegyezik_m.mp3
635,szorít,szorítani,Ma este a magyar csapatnak szorítunk.,"to root for, to cheer for",Tonight we're rooting for the Hungarian team.,0635_szorit_m.mp3
636,jelenik,jelenni,Néha furcsa hibák jelennek meg a képernyőn.,"to appear, to show up",Sometimes strange errors appear on the screen.,0636_jelenik_m.mp3
637,felbukkan,felbukkanni,Hirtelen felbukkant egy ismerős arc.,"to pop up, to appear suddenly",Suddenly a familiar face appeared.,0637_felbukkan_m.mp3
638,alkalmaz,alkalmazni,Ezt a módszert gyakran alkalmazzuk a munkában.,"to use, to apply",We often use this method at work.,0638_alkalmaz_m.mp3
639,forgat,forgatni,Most egy új filmet forgatnak a parkban.,"to film, to shoot (a movie)",They are shooting a new film in the park right now.,0639_forgat_m.mp3
640,feled,feledni,Sosem feledem ezt a szép napot.,to forget,I will never forget this beautiful day.,0640_feled_m.mp3
641,mar,marni,A füst marja a szememet.,"to sting, to burn",The smoke is stinging my eyes.,0641_mar_m.mp3
642,idehoz,idehozni,Holnap idehozom a könyvedet.,to bring here,I'll bring your book here tomorrow.,0642_idehoz_m.mp3
643,szorul,szorulni,Most segítségre szorulunk.,"to need, to be in need of",We need help right now.,0643_szorul_m.mp3
644,megbízik,megbízni,Teljesen megbízom benned.,to trust,I trust you completely.,0644_megbizik_m.mp3
645,elrejt,elrejteni,Gyorsan elrejtettem a kulcsot a szőnyeg alá.,to hide,I quickly hid the key under the rug.,0645_elrejt_m.mp3
646,tárgyal,tárgyalni,Holnap a főnökkel tárgyalok a fizetésről.,"to negotiate, to discuss",Tomorrow I'm negotiating my salary with my boss.,0646_targyal_m.mp3
647,zuhan,zuhanni,Tegnap majdnem a földre zuhantam.,"to fall, to plunge",Yesterday I almost fell to the ground.,0647_zuhan_m.mp3
648,csodál,csodálni,Gyakran csodálom a naplementét a tengernél.,to admire,I often admire the sunset by the sea.,0648_csodal_m.mp3
649,boldogul,boldogulni,Egyedül is jól boldogulok a munkámmal.,"to manage, to cope",I manage just fine with my work on my own.,0649_boldogul_m.mp3
650,passzol,passzolni,Ez a sapka jól passzol a kabátodhoz.,"to match, to go with",This hat goes well with your coat.,0650_passzol_m.mp3
651,leállít,leállítani,Gyorsan leállítottam a gépet.,"to stop, to shut down",I quickly stopped the machine.,0651_leallit_m.mp3
652,megtanít,megtanítani,Megtanítlak úszni a nyáron.,to teach,I'll teach you to swim this summer.,0652_megtanit_m.mp3
653,visszautasít,visszautasítani,Udvariasan visszautasítottam a meghívást.,"to decline, to turn down",I politely declined the invitation.,0653_visszautasit_m.mp3
654,mér,mérni,Minden reggel mérem a súlyomat.,"to weigh (oneself), to measure",I weigh myself every morning.,0654_mer_m.mp3
655,pisil,pisilni,A kutya minden reggel a fa mellé pisil.,"to pee, to wee",The dog pees next to the tree every morning.,0655_pisil_m.mp3
656,megijeszt,megijeszteni,Tegnap este nagyon megijesztettél engem.,"to frighten, to scare",You really scared me last night.,0656_megijeszt_m.mp3
657,elvág,elvágni,Késsel elvágtam a zsineget.,"to cut, to cut through",I cut the string with a knife.,0657_elvag_m.mp3
658,csökken,csökkenni,Télen gyorsan csökken a hőmérséklet.,"to drop, to decrease",In winter the temperature drops quickly.,0658_csokken_m.mp3
659,etet,etetni,Reggel mindig etetem a macskát.,to feed,I always feed the cat in the morning.,0659_etet_m.mp3
660,megúszik,megúszni,Szerencsére megúsztam a büntetést.,to get away with,"Luckily, I got away with it.",0660_meguszik_m.mp3
661,meghoz,meghozni,Ma meghozzuk a fontos döntést.,to make (a decision),Today we will make the important decision.,0661_meghoz_m.mp3
