№,Ige (HU),Infinitivus,Példamondat (HU),Глагол (RU),Перевод (RU),Audio
417,közeledik,közeledni,Lassan közeledünk a városhoz.,приближаться (к чему-л.),Мы медленно приближаемся к городу.,0417_kozeledik_m.mp3
418,eljut,eljutni,Gyorsan eljutottam a vasútállomásra.,добраться (до чего-л.),Я быстро добрался до железнодорожного вокзала.,0418_eljut_m.mp3
419,vizsgál,vizsgálni,Most vizsgálom a beteget.,осматривать,Я сейчас осматриваю больного.,0419_vizsgal_m.mp3
420,ünnepel,ünnepelni,Ma este a barátaimmal ünnepelünk.,"праздновать, отмечать",Сегодня вечером мы празднуем с моими друзьями.,0420_unnepel_m.mp3
421,kényszerít,kényszeríteni,Nem kényszerítelek semmire.,"принуждать, заставлять (кого-л. к чему-л.)",Я ни к чему тебя не принуждаю.,0421_kenyszerit_m.mp3
422,vádol,vádolni,Mindig engem vádolnak lopással.,обвинять,Они всегда обвиняют меня в краже.,0422_vadol_m.mp3
423,öregszik,öregedni,Az ember lassan öregszik.,стареть,Человек медленно стареет.,0423_oregszik_m.mp3
424,megfelel,megfelelni,Ez az időpont nekem tökéletesen megfelel.,"подходить, соответствовать (кому-л. — дат.)",Это время мне прекрасно подходит.,0424_megfelel_m.mp3
425,lemegy,lemenni,Reggel mindig gyorsan lemegyek a boltba.,спускаться / сходить вниз,Утром я всегда быстро спускаюсь в магазин.,0425_lemegy_m.mp3
426,átnéz,átnézni,Reggel mindig átnézem az e-mailjeimet.,"просмотреть, проверить",Утром я всегда просматриваю свои электронные письма.,0426_atnez_m.mp3
427,úszik,úszni,Reggelente a tóban úszom.,плавать,По утрам я плаваю в озере.,0427_uszik_m.mp3
428,reagál,reagálni,Gyorsan reagáltam az üzenetre.,реагировать (на что-л.),Я быстро отреагировал на сообщение.,0428_reagal_m.mp3
429,tönkretesz,tönkretenni,Tegnap véletlenül tönkretettem a telefonomat.,"разрушить, испортить, погубить",Вчера я случайно сломал свой телефон.,0429_tonkretesz_m.mp3
430,felfog,felfogni,Most végre felfogom a helyzetet.,"понять, осознать",Теперь я наконец осознаю ситуацию.,0430_felfog_m.mp3
431,odamegy,odamenni,"Odamegyek a pénztárhoz, és fizetek.",подойти / пойти туда,Я подхожу к кассе и плачу.,0431_odamegy_m.mp3
432,aláír,aláírni,Ma reggel aláírtam a szerződést.,подписать,Сегодня утром я подписал договор.,0432_alair_m.mp3
433,megfog,megfogni,Gyorsan megfogtam a labdát.,схватить / поймать,Я быстро поймал мяч.,0433_megfog_m.mp3
434,csap,csapni,Néha az asztalra csapok dühömben.,ударить / хлопнуть,Иногда я в гневе хлопаю по столу.,0434_csap_m.mp3
435,mos,mosni,Reggel mindig kezet mosok.,мыть / стирать,Утром я всегда мою руки.,0435_mos_m.mp3
436,utal,utalni,Holnap utalom a pénzt.,переводить (деньги),Завтра я переведу деньги.,0436_utal_m.mp3
437,javít,javítani,Most javítom a régi biciklimet.,"чинить, ремонтировать",Сейчас я чиню свой старый велосипед.,0437_javit_m.mp3
438,csókol,csókolni,Reggel mindig megpuszilom és csókolom őt.,целовать,Утром я всегда его чмокаю и целую.,0438_csokol_m.mp3
439,leül,leülni,"Fáradt vagyok, leülök egy kicsit.",сесть / присесть,"Я устал, присяду ненадолго.",0439_leul_m.mp3
440,fúj,fújni,Ma erősen fúj a szél kint.,дуть,Сегодня на улице сильно дует ветер.,0440_fuj_m.mp3
441,felmegy,felmenni,Reggel gyalog megyek fel a lépcsőn.,"подниматься, идти наверх",Утром я иду наверх по лестнице пешком.,0441_felmegy_m.mp3
442,levesz,levenni,Reggel mindig leveszem a kabátomat.,снять (снимать),Утром я всегда снимаю своё пальто.,0442_levesz_m.mp3
443,kockáztat,kockáztatni,Most nem kockáztatok semmit.,рисковать,Сейчас я ничем не рискую.,0443_kockaztat_m.mp3
444,rohan,rohanni,Minden reggel a buszhoz rohanok.,"мчаться, нестись",Каждое утро я мчусь к автобусу.,0444_rohan_m.mp3
445,elolvas,elolvasni,Tegnap elolvastam egy érdekes könyvet.,прочитать,Вчера я прочитал интересную книгу.,0445_elolvas_m.mp3
446,üldöz,üldözni,Üldözzük a tolvajt az utcán.,преследовать,Мы преследуем вора на улице.,0446_uldoz_m.mp3
447,odaér,odaérni,Időben odaértünk az állomásra.,добраться,Мы вовремя добрались до вокзала.,0447_odaer_m.mp3
448,elképzel,elképzelni,Nehezen képzelem el a jövőt.,"представить себе, вообразить",Мне трудно представить себе будущее.,0448_elkepzel_m.mp3
449,meggyőz,meggyőzni,Végül meggyőztem őt az igazamról.,убедить (кого-л. в чём-л.),В конце концов я убедил его в своей правоте.,0449_meggyoz_m.mp3
450,kijut,kijutni,Végre kijutottunk a friss levegőre.,"выбраться, попасть наружу",Наконец-то мы выбрались на свежий воздух.,0450_kijut_m.mp3
451,otthagy,otthagyni,Tegnap otthagytam a táskámat a buszon.,"оставить, бросить",Вчера я оставил свою сумку в автобусе.,0451_otthagy_m.mp3
452,kidob,kidobni,Tegnap kidobtam a régi cipőmet.,выбросить,Вчера я выбросил свои старые туфли.,0452_kidob_m.mp3
453,egyezik,egyezni,A válaszod pontosan egyezik az enyémmel.,совпадать (с чем-л.),Твой ответ точно совпадает с моим.,0453_egyezik_m.mp3
454,kiszáll,kiszállni,A megállóban szállok ki a buszból.,выходить (из транспорта),Я выхожу из автобуса на остановке.,0454_kiszall_m.mp3
455,elalszik,elaludni,Tegnap este gyorsan elaludtam a kanapén.,заснуть,Вчера вечером я быстро заснул на диване.,0455_elalszik_m.mp3
456,kihasznál,kihasználni,Mindig kihasználom a jó időt.,"использовать, воспользоваться",Я всегда использую хорошую погоду.,0456_kihasznal_m.mp3
457,teljesít,teljesíteni,Mindig teljesítem a kötelességemet.,выполнять,Я всегда выполняю свой долг.,0457_teljesit_m.mp3
458,visszakap,visszakapni,Holnap visszakapom a pénzemet.,получить обратно,Завтра я получу обратно свои деньги.,0458_visszakap_m.mp3
459,megvár,megvárni,Megvárlak téged a sarkon.,дождаться (кого-л.),Я дождусь тебя на углу.,0459_megvar_m.mp3
460,töröl,törölni,Most törlöm a régi fényképeket.,"удалять, стирать",Сейчас я удаляю старые фотографии.,0460_torol_m.mp3
461,vásárol,vásárolni,A piacon zöldséget vásárolok.,покупать,Я покупаю овощи на рынке.,0461_vasarol_m.mp3
462,összezavarodik,összezavarodni,Teljesen összezavarodtam a sok új szótól.,"запутаться, растеряться",Я совсем запутался от множества новых слов.,0462_osszezavarodik_m.mp3
463,elpusztít,elpusztítani,A tűz tegnap elpusztította a régi házat.,"уничтожить, истребить",Огонь вчера уничтожил старый дом.,0463_elpusztit_m.mp3
464,visszahív,visszahívni,Holnap reggel biztosan visszahívlak telefonon.,перезвонить (кому-л.),Завтра утром я обязательно перезвоню тебе по телефону.,0464_visszahiv_m.mp3
465,gyűjt,gyűjteni,Minden nyáron pénzt gyűjtök egy új biciklire.,"собирать, копить",Каждое лето я коплю деньги на новый велосипед.,0465_gyujt_m.mp3
466,lezár,lezárni,Este mindig lezárom az ajtót.,"закрыть, запереть, перекрыть",Вечером я всегда закрываю дверь на замок.,0466_lezar_m.mp3
467,nyújt,nyújtani,Szívesen nyújtok neked segítséget.,оказывать,Я с удовольствием окажу тебе помощь.,0467_nyujt_m.mp3
468,átél,átélni,Tegnap egy szép pillanatot éltem át.,"пережить, испытать",Вчера я пережил один прекрасный момент.,0468_atel_m.mp3
469,szólít,szólítani,A tanár mindig a nevemen szólít.,"называть, обращаться (к кому-л.)",Учитель всегда называет меня по имени.,0469_szolit_m.mp3
470,szégyell,szégyellni,Néha szégyellem a régi fényképeimet.,"стыдиться, стесняться",Иногда я стыжусь своих старых фотографий.,0470_szegyell_m.mp3
471,ebédel,ebédelni,Ma egy étteremben ebédelek.,обедать,Сегодня я обедаю в ресторане.,0471_ebedel_m.mp3
472,értesít,értesíteni,Holnap értesítjük a vendégeket a változásról.,"уведомлять, извещать",Завтра мы уведомим гостей об изменении.,0472_ertesit_m.mp3
473,kivesz,kivenni,Kiveszek egy könyvet a táskából.,"вынимать, доставать",Я вынимаю книгу из сумки.,0473_kivesz_m.mp3
474,átver,átverni,A boltban tegnap átvertek engem.,"обмануть, надуть",В магазине меня вчера обманули.,0474_atver_m.mp3
475,bevall,bevallani,"Végül bevallottam, hogy hibáztam.","признаться, сознаться","В конце концов я признался, что ошибся.",0475_bevall_m.mp3
476,hazaér,hazaérni,Este későn hazaértem a munkából.,добраться,Вечером я поздно добрался домой с работы.,0476_hazaer_m.mp3
477,szexel,szexelni,Tegnap este sokáig szexeltünk.,заниматься сексом,Вчера вечером мы долго занимались сексом.,0477_szexel_m.mp3
478,elfog,elfogni,Tegnap elfogták a tolvajt.,поймать,Вчера они поймали вора.,0478_elfog_m.mp3
479,céloz,célozni,A táblára célzol a nyíllal.,целишься,Ты целишься в мишень стрелой.,0479_celoz_m.mp3
480,ereszt,ereszteni,Eresztem a vizet a kádba.,"пускать, отпускать",Я пускаю воду в ванну.,0480_ereszt_m.mp3
481,megerősít,megerősíteni,E-mailben megerősítettem a foglalást.,подтвердить,Я подтвердил бронирование по электронной почте.,0481_megerosit_m.mp3
482,visszaad,visszaadni,Holnap visszaadom neked a könyvet.,"вернуть, отдать обратно",Завтра я верну тебе книгу.,0482_visszaad_m.mp3
483,stimmel,stimmelni,A számla összege most stimmel.,"сходиться, быть верным",Сумма счёта теперь сходится.,0483_stimmel_m.mp3
484,igyekszik,igyekezni,Munka után mindig igyekszem haza.,"спешить, стараться",После работы я всегда спешу домой.,0484_igyekszik_m.mp3
485,derít,deríteni,Végre fényt derítünk a rejtélyre.,раскроем,Наконец-то мы раскроем эту тайну.,0485_derit_m.mp3
486,betör,betörni,Az éjjel betörtek a boltba.,"вломиться, проникнуть со взломом (betör valahová)",Этой ночью они вломились в магазин.,0486_betor_m.mp3
487,leesik,leesni,Tegnap leestem a bicikliről.,"упасть, свалиться",Вчера я упал с велосипеда.,0487_leesik_m.mp3
488,lejár,lejárni,Holnap lejár az igazolványom.,истекать (о сроке),Завтра истекает срок моего удостоверения.,0488_lejar_m.mp3
489,letesz,letenni,Leteszem a táskát az asztalra.,"положить, поставить (вниз); повесить трубку",Я кладу сумку на стол.,0489_letesz_m.mp3
490,oszt,osztani,Most osztom a kártyákat.,"раздавать, делить",Сейчас я раздаю карты.,0490_oszt_m.mp3
491,megcsókol,megcsókolni,Reggel gyengéden megcsókoltam az arcát.,поцеловать (кого-л.),Утром я нежно поцеловал её в щёку.,0491_megcsokol_m.mp3
492,leáll,leállni,A liftünk hirtelen leállt a harmadik emeleten.,"остановиться, прекратиться",Наш лифт внезапно остановился на третьем этаже.,0492_leall_m.mp3
493,bejut,bejutni,Végre bejutottunk a moziba.,"попасть (внутрь), пробраться",Наконец-то мы попали в кинотеатр.,0493_bejut_m.mp3
494,levág,levágni,Reggel mindig levágom a kenyér héját.,"отрезать, срезать",Утром я всегда срезаю корку с хлеба.,0494_levag_m.mp3
495,összejön,összejönni,Ma este összejövünk a barátokkal.,"собраться, сойтись",Сегодня вечером мы соберёмся с друзьями.,0495_osszejon_m.mp3
496,érint,érinteni,Ez a kérdés mindenkit érint.,"касаться, затрагивать (кого/что — вин.)",Этот вопрос касается всех.,0496_erint_m.mp3
497,elvisel,elviselni,Nehezen viselem el a nagy meleget.,"терпеть, выносить",Я с трудом переношу сильную жару.,0497_elvisel_m.mp3
498,süt,sütni,Ma reggel szépen süt a nap.,"светить (о солнце); печь, жарить",Сегодня утром ярко светит солнце.,0498_sut_m.mp3
499,szavaz,szavazni,Holnap először szavazok a választáson.,голосовать,Завтра я впервые голосую на выборах.,0499_szavaz_m.mp3
500,juttat,juttatni,Minden hónapban pénzt juttatok nekik.,"предоставлять, доставлять (кому-л.)",Каждый месяц я предоставляю им деньги.,0500_juttat_m.mp3
501,kelt,kelteni,A film jó benyomást keltett bennem.,будить; вызывать (впечатление),Фильм произвёл на меня хорошее впечатление.,0501_kelt_m.mp3
502,közöl,közölni,Holnap közlöm veled a döntésemet.,"сообщать, объявлять",Завтра я сообщу тебе своё решение.,0502_kozol_m.mp3
503,megeszik,megenni,Reggelire megettem egy almát.,съесть,На завтрак я съел одно яблоко.,0503_megeszik_m.mp3
504,rabol,rabolni,A maffia gyakran rabol bankokat.,грабить,Мафия часто грабит банки.,0504_rabol_m.mp3
505,lefogad,lefogadni,"Lefogadom, hogy holnap esni fog.","спорить, биться об заклад","Спорим, что завтра будет дождь.",0505_lefogad_m.mp3
506,meghall,meghallani,Hirtelen meghallottam a kutya ugatását.,услышать,Я вдруг услышал лай собаки.,0506_meghall_m.mp3
507,elvégez,elvégezni,Tegnap elvégeztem az összes feladatot.,"выполнить, завершить",Вчера я выполнил все задания.,0507_elvegez_m.mp3
508,un,unni,Nagyon unom ezt a hosszú filmet.,"скучать, не нравиться (из-за скуки)",Мне очень скучно от этого длинного фильма.,0508_un_m.mp3
509,ítél,ítélni,Öt évre ítéltem a tolvajt.,приговорить,Я приговорил вора к пяти годам.,0509_itel_m.mp3
510,meghallgat,meghallgatni,Figyelmesen meghallgattam a véleményedet.,"выслушать, прослушать",Я внимательно выслушал твоё мнение.,0510_meghallgat_m.mp3
511,szállít,szállítani,Holnap szállítjuk a bútorokat a házba.,"доставлять, перевозить",Завтра мы доставим мебель в дом.,0511_szallit_m.mp3
512,ideér,ideérni,Holnap reggel ideérek a vonattal.,"добраться сюда, успеть сюда",Завтра утром я доберусь сюда на поезде.,0512_ideer_m.mp3
513,áld,áldani,Minden vasárnap áldja a híveket.,благословляет,Каждое воскресенье он благословляет прихожан.,0513_ald_m.mp3
514,felrobbant,felrobbantani,Felrobbantották a régi hidat.,взорвать,Они взорвали старый мост.,0514_felrobbant_m.mp3
515,üzen,üzenni,Holnap üzenek neked telefonon.,"передавать сообщение, дать знать",Завтра я передам тебе сообщение по телефону.,0515_uzen_m.mp3
516,őriz,őrizni,A kutya éjszaka őrzi a házat.,"охранять, стеречь",Собака ночью охраняет дом.,0516_oriz_m.mp3
517,megjelenik,megjelenni,Holnap megjelenik az új könyvem a boltokban.,"появляться, выходить (о публикации)",Завтра моя новая книга выйдет в магазинах.,0517_megjelenik_m.mp3
518,elmesél,elmesélni,Tegnap elmeséltem neki egy vicces történetet.,рассказать,Вчера я рассказал ему смешную историю.,0518_elmesel_m.mp3
519,panaszkodik,panaszkodni,Mindig a rossz időre panaszkodik.,жаловаться (на что-л.),Он всегда жалуется на плохую погоду.,0519_panaszkodik_m.mp3
520,felajánl,felajánlani,Felajánlottam neki a helyemet a buszon.,предложить,Я предложил ему своё место в автобусе.,0520_felajanl_m.mp3
521,kipróbál,kipróbálni,Holnap kipróbálom az új biciklit.,"попробовать, испытать",Завтра я попробую (испытаю) новый велосипед.,0521_kiprobal_m.mp3
522,elfogy,elfogyni,Reggelre elfogyott a kávé.,"закончиться, иссякнуть",К утру кофе закончился.,0522_elfogy_m.mp3
523,forog,forogni,A Föld lassan forog a tengelye körül.,"вращаться, крутиться",Земля медленно вращается вокруг своей оси.,0523_forog_m.mp3
524,becsuk,becsukni,Mindig becsukom az ablakot este.,"закрыть, захлопнуть",Я всегда закрываю окно вечером.,0524_becsuk_m.mp3
525,elismer,elismerni,Végül elismerte a hibáját.,признать / признавать (что-л.),В конце концов он признал свою ошибку.,0525_elismer_m.mp3
526,kilép,kilépni,Reggel kilépek a házból.,"выйти, выходить",Утром я выхожу из дома.,0526_kilep_m.mp3
527,elkezdődik,elkezdődni,Minden hamarosan elkezdődik.,начаться,Скоро всё начнётся.,0527_elkezdodik_m.mp3
528,izgul,izgulni,Mindig izgulok a vizsga előtt.,"волноваться, нервничать",Я всегда волнуюсь перед экзаменом.,0528_izgul_m.mp3
529,veszteget,vesztegetni,Ne vesztegesd az időt!,тратить,Не трать время!,0529_veszteget_m.mp3
530,összetör,összetörni,Tegnap véletlenül összetörtem egy poharat.,"разбить, сломать",Вчера я случайно разбил стакан.,0530_osszetor_m.mp3
531,megvizsgál,megvizsgálni,Tegnap alaposan megvizsgáltam a beteget.,осмотрел,Вчера я тщательно осмотрел больного.,0531_megvizsgal_m.mp3
532,elkerül,elkerülni,Reggel mindig elkerülöm a forgalmat.,избегать / избежать (что-л.),Утром я всегда избегаю пробок.,0532_elkerul_m.mp3
533,kísér,kísérni,Minden reggel az iskolába kísérem.,"сопровождать, провожать",Каждое утро я провожаю его в школу.,0533_kiser_m.mp3
534,szúr,szúrni,Megint az ujjamba szúrtam a tűvel.,"колоть, уколоть",Я снова уколол себе палец иголкой.,0534_szur_m.mp3
535,vadászik,vadászni,Télen gyakran vadászunk az erdőben.,охотиться,Зимой мы часто охотимся в лесу.,0535_vadaszik_m.mp3
536,jelez,jelezni,A piros lámpa veszélyt jelez.,"сигнализировать, обозначать",Красный свет сигнализирует об опасности.,0536_jelez_m.mp3
537,megakadályoz,megakadályozni,Tegnap megakadályoztam egy nagy balesetet.,"предотвратить, помешать (чему-л.)",Вчера я предотвратил большую аварию.,0537_megakadalyoz_m.mp3
538,szán,szánni,Ezt a könyvet neked szánom.,предназначать (что-л. кому-л.),Эту книгу я предназначаю тебе.,0538_szan_m.mp3
539,látogat,látogatni,Gyakran látogatom a beteg barátomat.,"навещать, посещать",Я часто навещаю своего больного друга.,0539_latogat_m.mp3
540,leszáll,leszállni,A buszról a következő megállónál szállok le.,"сойти, выйти (из транспорта); приземлиться",Я выйду из автобуса на следующей остановке.,0540_leszall_m.mp3
541,veszekedik,veszekedni,Megint veszekszünk a szomszéddal.,"ссориться, ругаться",Мы снова ссоримся с соседом.,0541_veszekedik_m.mp3
542,lélegzik,lélegezni,"Mély levegőt veszek, és lassan lélegzem.",дышать,Я делаю глубокий вдох и медленно дышу.,0542_lelegzik_m.mp3
543,rávesz,rávenni,Tegnap rávettem a barátomat egy közös vacsorára.,"уговорить, склонить (кого-л. на что-л.)",Вчера я уговорил друга вместе поужинать.,0543_ravesz_m.mp3
544,eltalál,eltalálni,Végre eltaláltam a helyes választ.,"угадать, попасть",Наконец-то я угадал правильный ответ.,0544_eltalal_m.mp3
545,bevesz,bevenni,Reggel beveszem a gyógyszert.,принять (внутрь),Утром я принимаю лекарство.,0545_bevesz_m.mp3
546,rendelkezik,rendelkezni,Most elég pénzzel rendelkezem az úthoz.,"располагать (чем-л.), иметь в распоряжении",Сейчас я располагаю достаточными деньгами на поездку.,0546_rendelkezik_m.mp3
547,vitatkozik,vitatkozni,Gyakran vitatkozunk a politikáról.,"спорить (о чём-л., с кем-л.)",Мы часто спорим о политике.,0547_vitatkozik_m.mp3
548,megoszt,megosztani,Megosztottam a fotót a barátaimmal.,поделиться (чем-л. с кем-л.),Я поделился фотографией с друзьями.,0548_megoszt_m.mp3
549,kihoz,kihozni,Mindjárt kihozom a kávét a teraszra.,вынести (наружу),Я сейчас вынесу кофе на террасу.,0549_kihoz_m.mp3
550,ás,ásni,A kertben egy mély gödröt ások.,"копать, рыть",Я копаю глубокую яму в саду.,0550_as_m.mp3
551,visszahoz,visszahozni,Holnap visszahozom a könyvet a könyvtárból.,принести обратно,Завтра я принесу книгу обратно из библиотеки.,0551_visszahoz_m.mp3
552,haldoklik,haldokolni,A beteg már napok óta haldoklik.,"умирать, быть при смерти",Больной уже несколько дней при смерти.,0552_haldoklik_m.mp3
553,nyomoz,nyomozni,A rendőrök most egy lopás után nyomoznak.,"расследовать, вести следствие",Полицейские сейчас расследуют кражу.,0553_nyomoz_m.mp3
554,fenyeget,fenyegetni,Gyakran fenyegeti az ellenségeit.,угрожает,Он часто угрожает своим врагам.,0554_fenyeget_m.mp3
555,kiad,kiadni,Jövőre kiadom az első könyvemet.,"издать, выпустить",В следующем году я издам свою первую книгу.,0555_kiad_m.mp3
556,megüt,megütni,Véletlenül megütöttem a térdemet.,ударить,Я случайно ударился коленом.,0556_megut_m.mp3
557,kinéz,kinézni,Ma nagyon fáradtnak nézek ki.,выглядеть (как-л.),Сегодня я выгляжу очень усталым.,0557_kinez_m.mp3
558,öltözik,öltözni,Reggel mindig gyorsan öltözöm.,одеваться,Утром я всегда одеваюсь быстро.,0558_oltozik_m.mp3
559,takarít,takarítani,Minden reggel takarítom a konyhát.,"убирать, чистить",Каждое утро я убираю кухню.,0559_takarit_m.mp3
560,utánanéz,utánanézni,Holnap utánanézek az áraknak az interneten.,"разузнать, проверить",Завтра я узнаю цены в интернете.,0560_utananez_m.mp3
561,elszúr,elszúrni,Tegnap teljesen elszúrtam a vizsgát.,"испортить, провалить, напортачить",Вчера я полностью провалил экзамен.,0561_elszur_m.mp3
562,követel,követelni,Több pénzt követelünk a főnöktől.,требовать,Мы требуем больше денег от начальника.,0562_kovetel_m.mp3
563,tájékoztat,tájékoztatni,A rádió pontosan tájékoztat minket az időjárásról.,"информировать, оповещать (о чём-л. — valamiről)",Радио точно информирует нас о погоде.,0563_tajekoztat_m.mp3
564,eltör,eltörni,Tegnap véletlenül eltörtem egy poharat.,"сломать, разбить",Вчера я случайно разбил(а) стакан.,0564_eltor_m.mp3
565,elront,elrontani,Tegnap elrontottam a vacsorát.,"испортить, испоганить",Вчера я испортил ужин.,0565_elront_m.mp3
566,megszeg,megszegni,Tegnap megszegtem az ígéretemet.,"нарушить (обещание, закон)",Вчера я нарушил своё обещание.,0566_megszeg_m.mp3
567,kutat,kutatni,A laborban új gyógyszert kutatunk.,исследовать,В лаборатории мы исследуем новое лекарство.,0567_kutat_m.mp3
568,megbán,megbánni,Most már nagyon megbántam a döntésemet.,"пожалеть, раскаяться (в чём-л.)",Теперь я уже очень пожалел о своём решении.,0568_megban_m.mp3
569,tagad,tagadni,A rendőrségen mindent tagadott.,отрицать,В полиции он всё отрицал.,0569_tagad_m.mp3
570,bebizonyít,bebizonyítani,Végre bebizonyítottam az igazamat.,доказать,Наконец-то я доказал свою правоту.,0570_bebizonyit_m.mp3
571,rejteget,rejtegetni,Te mindig titkokat rejtegetsz előlem.,"прятать, скрывать",Ты всегда прячешь от меня секреты.,0571_rejteget_m.mp3
572,megír,megírni,Holnap megírom a levelet.,написать,Завтра я напишу письмо.,0572_megir_m.mp3
573,lemarad,lemaradni,Majdnem lemaradtam a buszról reggel.,"опоздать (на что-л.), отстать",Утром я чуть не опоздал на автобус.,0573_lemarad_m.mp3
574,kiáll,kiállni,Mindig kiállok a barátaim mellett.,заступиться (за кого-л. — mellett); выйти,Я всегда заступаюсь за своих друзей.,0574_kiall_m.mp3
575,szervez,szervezni,Minden évben bulit szervezünk a parkban.,организовывать,Каждый год мы организуем вечеринку в парке.,0575_szervez_m.mp3
576,tiltakozik,tiltakozni,Hangosan tiltakoztunk a döntés ellen.,"протестовать, возражать (против чего-л. — ellen)",Мы громко протестовали против этого решения.,0576_tiltakozik_m.mp3
577,lassít,lassítani,A kanyarban mindig lassítok.,"замедлять, сбавлять скорость",На повороте я всегда замедляю (скорость).,0577_lassit_m.mp3
578,feláll,felállni,A buszon mindig felállok az idős néniknek.,вставать,В автобусе я всегда встаю ради пожилых женщин.,0578_felall_m.mp3
579,elmenekül,elmenekülni,Gyorsan elmenekültünk a tűz elől.,"сбежать, спастись бегством",Мы быстро сбежали от огня.,0579_elmenekul_m.mp3
580,éget,égetni,Most égetem a régi leveleket a kertben.,"жечь, сжигать",Сейчас я сжигаю старые письма в саду.,0580_eget_m.mp3
581,leír,leírni,Leírom a címet egy papírra.,записать; описать,Я запишу адрес на листок бумаги.,0581_leir_m.mp3
582,elcsesz ⚠️,elcseszni,Megint elcsesztem a vizsgát.,"испортить, запороть, просрать",Я снова провалил экзамен.,0582_elcsesz_m.mp3
583,elutasít,elutasítani,Udvariasan elutasítottam a meghívást.,"отклонить, отказать(ся)",Я вежливо отклонил приглашение.,0583_elutasit_m.mp3
584,ráér,ráérni,Holnap délután ráérek.,"иметь время, быть свободным",Завтра во второй половине дня у меня есть время.,0584_raer_m.mp3
585,meggyilkol,meggyilkolni,A filmben tegnap meggyilkolták a királyt.,убить (совершить убийство),В фильме вчера убили короля.,0585_meggyilkol_m.mp3
586,merészel,merészelni,Nem merészelek éjszaka egyedül sétálni.,"сметь, осмеливаться (что-л. сделать)",Я не осмеливаюсь гулять ночью один.,0586_mereszel_m.mp3
587,kever,keverni,Kanállal keverem a teát.,"мешать, размешивать; смешивать",Я мешаю чай ложкой.,0587_kever_m.mp3
588,rejt,rejteni,A mosolya szomorúságot rejt.,"прятать, скрывать",Её улыбка скрывает грусть.,0588_rejt_m.mp3
589,elválik,elválni,Tavaly elváltam a férjemtől.,"развестись (с кем-л. — от кого-л., -tól/-től)",В прошлом году я развелась с мужем.,0589_elvalik_m.mp3
590,kienged,kiengedni,Kiengedtem a kutyát a kertbe.,"выпустить, отпустить",Я выпустил собаку в сад.,0590_kienged_m.mp3
591,tol,tolni,Reggel mindig én tolom a babakocsit.,толкать,Утром я всегда толкаю коляску.,0591_tol_m.mp3
592,behoz,behozni,Mindig behozom a postát reggel.,вносить / заносить (внутрь); навёрстывать,Я всегда заношу почту утром.,0592_behoz_m.mp3
593,kihúz,kihúzni,Gyorsan kihúztam a szöget a falból.,вытащил,Я быстро вытащил гвоздь из стены.,0593_kihuz_m.mp3
594,alkot,alkotni,Esténként szép dolgokat alkotok.,создаю,По вечерам я создаю красивые вещи.,0594_alkot_m.mp3
595,fárad,fáradni,Munka után gyakran nagyon fáradok.,уставать / устать,После работы я часто очень устаю.,0595_farad_m.mp3
596,képvisel,képviselni,Holnap én képviselem a cégünket.,представлять (кого/что — в вин. п.),Завтра я буду представлять нашу фирму.,0596_kepvisel_m.mp3
597,reménykedik,reménykedni,Mindig jó hírben reménykedem.,надеяться,Я всегда надеюсь на хорошие новости.,0597_remenykedik_m.mp3
598,megfizet,megfizetni,Holnap megfizetem az adósságomat.,заплачу,Завтра я заплачу свой долг.,0598_megfizet_m.mp3
599,terjed,terjedni,A tűz gyorsan terjed a száraz erdőben.,распространяться,Огонь быстро распространяется в сухом лесу.,0599_terjed_m.mp3
600,lazít,lazítani,Munka után mindig lazítok egy kicsit.,расслабляться; ослаблять,После работы я всегда немного расслабляюсь.,0600_lazit_m.mp3
601,bukkan,bukkanni,A padláson egy régi fényképre bukkantam.,натыкаться / наткнуться (на что-л.),На чердаке я наткнулся на старую фотографию.,0601_bukkan_m.mp3
602,felnő,felnőni,Egy kis faluban nőttem fel.,"вырастать / вырасти, взрослеть",Я вырос(ла) в маленькой деревне.,0602_felno_m.mp3
603,átgondol,átgondolni,Holnapig még átgondolom az ajánlatot.,обдумывать / обдумать,До завтра я ещё обдумаю это предложение.,0603_atgondol_m.mp3
604,beismer,beismerni,Végre beismerte a hibáját.,признавать / признать,Он наконец признал свою ошибку.,0604_beismer_m.mp3
605,tartóztat,tartóztatni,Sokáig tartóztattak minket a határon.,задерживали,Нас долго задерживали на границе.,0605_tartoztat_m.mp3
606,felfedez,felfedezni,Tegnap felfedeztünk egy új éttermet.,открывать / обнаруживать,Вчера мы открыли для себя новый ресторан.,0606_felfedez_m.mp3
607,kikapcsol,kikapcsolni,Este mindig kikapcsolom a telefonomat.,выключать / выключить,Вечером я всегда выключаю свой телефон.,0607_kikapcsol_m.mp3
608,ellenáll,ellenállni,Nem tudok ellenállni a csokoládénak.,"сопротивляться, устоять (перед чем-л. — dat.)",Я не могу устоять перед шоколадом.,0608_ellenall_m.mp3
609,érdeklődik,érdeklődni,Mindig érdeklődöm a magyar zene iránt.,интересоваться (чем-л.),Я всегда интересуюсь венгерской музыкой.,0609_erdeklodik_m.mp3
610,megijed,megijedni,Tegnap nagyon megijedtem a kutyától.,испугаться (чего-л. — vmitől),Вчера я очень испугался собаки.,0610_megijed_m.mp3
611,elutazik,elutazni,Holnap elutazom Budapestre.,уезжать / уехать,Завтра я уезжаю в Будапешт.,0611_elutazik_m.mp3
